address|text|name
00497b9c|東方妖々夢　～ Perfect Cherry Blossom. ver 1.00b|TH_WINDOW_TITLE
00495cb8|error : イメージがαを持っていません\r\n|TH_ERR_NO_ALPHA_CHANNEL
00495c7c|アニメが読み込めません。データが失われてるか壊れています\r\n|TH_ERR_ANM_LOAD_FAIL
00495c5c|テクスチャ格納先が足りません\r\n|TH_ERR_LOW_TEXTURE_STORAGE
00495c3c|アニメのバージョンが違います\r\n|TH_ERR_DIFF_ANM_VER
00495bf8|テクスチャ %s が読み込めません。データが失われてるか壊れています\r\n|TH_ERR_TEX_LOAD_FAIL
00495bb8|テクスチャが読み込めません。データが失われてるか壊れています\r\n|TH_ERR_EMBED_TEX_LOAD_FAIL
00495b80|スプライトが格納できません。テーブルが不足しています\r\n|TH_ERR_LOW_SPRITE_TABLE
00495b4c|アニメが格納できません。テーブルが不足しています\r\n|TH_ERR_LOW_SCRIPT_TABLE
00495b30|%sが読み込めないです。\r\n|TH_ERR_SURFACE_LOAD_FAIL
00498874|霊符「夢想封印　散」|TH_BOMB_REIMU_A
0049885c|霊符「夢想封印　集」|TH_BOMB_REIMU_A_FOCUS
0049884c|夢符「封魔陣」|TH_BOMB_REIMU_B
00498838|夢符「二重結界」|TH_BOMB_REIMU_B_FOCUS
00498818|魔符「スターダストレヴァリエ」|TH_BOMB_MARISA_A
00498800|魔符「ミルキーウェイ」|TH_BOMB_MARISA_A_FOCUS
004987d8|恋符「ノンディレクショナルレーザー」|TH_BOMB_MARISA_B
004987bc|恋符「マスタースパーク」|TH_BOMB_MARISA_B_FOCUS
0049879c|幻符「インディスクリミネイト」|TH_BOMB_SAKUYA_A
00498788|幻符「殺人ドール」|TH_BOMB_SAKUYA_A_FOCUS
00498768|時符「パーフェクトスクウェア」|TH_BOMB_SAKUYA_B
00498748|時符「プライベートスクウェア」|TH_BOMB_SAKUYA_B_FOCUS
00497cbc|ＭＳ ゴシック|TH_FONT_MS_GOTHIC
00497dc8|東方動作記録 --------------------------------------------- \r\n|TH_LOG_START
00497d9c|使えるパッドが存在しないようです、残念\r\n|TH_CONTROL_NO_USABLE_PADS
00498700|敵データの読み込みに失敗しました、データが壊れてるか失われています\r\n|TH_ERR_ECL_LOAD_FAIL
004985d8|error : エンディングファイルが読み込めない、ファイルが破壊されています\r\n|TH_ERR_END_LOAD_FAIL
00498090|error : スコアファイルの読み取りに失敗しました\r\n|TH_ERR_SCORE_LOAD_FAIL
00498064|error : プレイヤーの初期化に失敗しました\r\n|TH_ERR_PLAYER_INIT_FAIL
00498038|error : 背景データの初期化に失敗しました\r\n|TH_ERR_STAGE_INIT_FAIL
00498010|error : 敵弾の初期化に失敗しました\r\n|TH_ERR_BULLET_INIT_FAIL
00497f4c|error : 敵の初期化に失敗しました\r\n|TH_ERR_ENEMY_INIT_FAIL
00497e84|error : 敵頭脳の初期化に失敗しました\r\n|TH_ERR_ECL_INIT_FAIL
00497e58|error : エフェクトの初期化に失敗しました\r\n|TH_ERR_EFFECT_INIT_FAIL
00497e30|error : 2D表示の初期化に失敗しました\r\n|TH_ERR_GUI_INIT_FAIL
00497bd8|Direct3D オブジェクトは何故か作成出来なかった\r\n|TH_ERR_D3D_CREATE_FAIL
00497b70|初回起動、画面を 32Bits で初期化しました\r\n|TH_LOG_DISPLAY_INIT_32BITS
00497b44|リフレッシュレートを60Hzに変更を試みます\r\n|TH_LOG_DISPLAY_CHANGE_60_HZ
00497b20|VSync非同期可能かどうかを試みます\r\n|TH_LOG_TRY_ASYNC_VSYNC
00497afc|T&L HAL は使用できないようです\r\n|TH_LOG_TL_HAL_UNUSABLE
00497adc|HAL も使用できないようです\r\n|TH_LOG_HAL_UNUSABLE
00497ab4|リフレッシュレートが変更できません\r\n|TH_LOG_REFRESH_RATE_UNCHANGED
00497a7c|非同期更新も行えません。一番汚いモードに変更します\r\n|TH_LOG_ASYNC_VSYNC_UNAVAILABLE
00497a3c|*** リフレッシュレートを60Hzに変更することを推奨します ***\r\n|TH_ERR_CHANGE_YO_REFRESH_RATE
00497a04|Direct3D の初期化に失敗、これではゲームは出来ません\r\n|TH_ERR_D3D_INIT_FAIL
004979c8|REF で動作しますが、重すぎて恐らくゲームになりません...\r\n|TH_LOG_USING_REF_RENDER
004979b4|HAL で動作します\r\n|TH_LOG_USING_HAL
00497998|T&L HAL で動作しま～す\r\n|TH_LOG_USING_TL_HAL
00497948|D3DTEXOPCAPS_ADD をサポートしていません、色加算エミュレートモードで動作します\r\n|TH_LOG_USING_COLOR_ADD_EMU
004978f8|512 以上のテクスチャをサポートしていません。殆どの絵がボケて表示されます。\r\n|TH_LOG_LARGE_TEX_UNSUPPORTED
004978b0|D3DFMT_A8R8G8B8 をサポートしていません、減色モードで動作します\r\n|TH_LOG_USING_REDUCED_COLOR
004978a4|不可\r\n|TH_CAP_UNSUPPORTED
0049789c|可\r\n|TH_CAP_SUPPORTED
0049786c|現在のビデオカード、及びドライバの能力詳細\r\n|TH_CAP_VIDEO_SUMMARY
00497858|　走査線取得能力 : |TH_CAP_VIDEO_SCANLINE
00497834|　ウィンドウモードのレンダリング : |TH_CAP_VIDEO_WINDOWED
00497810|　プレゼンテーション間隔（直接）: |TH_CAP_VIDEO_PRESENT_INTERVAL_IMMEDIATE
004977e8|　プレゼンテーション間隔（垂直同期）: |TH_CAP_VIDEO_PRESENT_INTERVAL_VSYNC
004977b4|　-- デバイス能力 ------------------------------\r\n|TH_CAP_DEV_SUMMARY
0049778c|　System -> 非ローカルVRAMブリット : |TH_CAP_DEV_NON_LOCAL_VRAM_BLIT
00497774|　ハードウェア T&L : |TH_CAP_DEV_HARDWARE_TL
0049774c|　非ローカルVRAMからテクスチャ取得 : |TH_CAP_DEV_NON_LOCAL_VRAM_TEX
00497724|　システムメモリからテクスチャ取得 : |TH_CAP_DEV_SYS_MEM_TEX
00497704|　VRAM からテクスチャ取得 : |TH_CAP_DEV_VRAM_TEX
004976dc|　頂点バッファにシステムメモリを使用 : |TH_CAP_DEV_SYS_MEM_VERTEX_BUF
004976b4|　頂点バッファにビデオメモリを使用 : |TH_CAP_DEV_VMEM_VERTEX_BUF
00497680|　-- プリミティブ能力 ---------------------------\r\n|TH_CAP_PRIMITIVE_SUMMARY
00497670|　半透明処理 : |TH_CAP_PRIMITIVE_TRANSPARENCY
00497650|　ポイントのクリッピング処理 : |TH_CAP_PRIMITIVE_POINT_CLIPPING
0049762c|　プリミティブのクリッピング処理 : |TH_CAP_PRIMITIVE_TL_CLIPPING
0049760c|　法線クリップ（反時計周り） : |TH_CAP_PRIMITIVE_CLIP_CCW
004975ec|　法線クリップ（時計周り） : |TH_CAP_PRIMITIVE_CLIP_CW
004975d4|　法線クリップ無し : |TH_CAP_PRIMITIVE_CLIP_NONE
