address|name|type
00401000|Initialize|function
004013c1|GetControllerState|function
004014b2|GetJoystickState|function
004014bb|DialogProc|function
00401970|WinMain|function
0040198a|sprintf|library
004019e2|fread|library
00401acb|fclose|library
00401b21|ftell|library
00401c7a|fseek|library
00401d08|_fsopen|library
00401d32|fopen|library
00401d50|memset|library
00401db0|report_failure|library
00401de1|__security_check_cookie|library
00401def|fwrite|library
00401f00|FUN_00401f00|library
00401f10|strcat|library
00402050|atol|library
00402055|_amsg_exit|library
0040207a|entry|library
00402253|_flsbuf|library
00402369|write_char|library
0040239c|write_multi_char|library
004023c0|write_string|library
004023f7|FUN_004023f7|library
00402b8c|_filbuf|library
00402c6a|FUN_00402c6a|library
00402e50|memcpy|library
0040318d|free|library
004031c5|FUN_004031c5|library
00403278|_freebuf|library
004032a3|_flush|library
00403300|fflush|library
0040333b|flsall|library
004033a8|_flushall|library
004033b1|FUN_004033b1|library
004033e1|FUN_004033e1|library
00403446|FUN_00403446|library
00403508|FUN_00403508|library
00403519|_exit|library
0040352a|FUN_0040352a|library
00403539|FUN_00403539|library
00403548|FUN_00403548|library
004036f3|_lseek|library
0040377f|_openfile|library
004038e7|_getstream|library
00403959|FUN_00403959|library
004039af|FUN_004039af|library
00403afc|_SEH_prolog|library
00403b37|_SEH_epilog|library
00403b48|FUN_00403b48|library
00403cfc|_ismbcspace|library
00403dc4|FUN_00403dc4|library
00403f3b|_FF_MSGBANNER|library
00403f74|_XcptFilter|library
004040e5|FUN_004040e5|library
0040414e|_setenvp|library
00404215|FUN_00404215|library
00404381|FUN_00404381|library
00404423|__crtGetEnvironmentStringsA|library
00404545|FUN_00404545|library
004045cd|__heap_select|library
004045e7|_heap_init|library
00404640|_chkstk|library
0040467d|_getbuf|library
004046c1|_isatty|library
004046e8|__initstdio|library
0040478e|__endstdio|library
004047b0|strlen|library
0040483b|_heap_alloc|library
00404881|_nh_malloc|library
004048ad|malloc|library
004048bf|wctomb|library
00404930|_aulldvrm|library
004049c5|_dosmaperr|library
00404a24|__sbh_heap_init|library
00404a6c|__sbh_find_block|library
00404a97|__sbh_free_block|library
00404daf|__sbh_alloc_new_region|library
00404e66|__sbh_alloc_new_group|library
00404f6c|__sbh_resize_block|library
0040524b|__sbh_alloc_block|library
00405547|FUN_00405547|library
004055e4|_set_osfhnd|library
0040565b|_free_osfhnd|library
004056d5|_get_osfhandle|library
00405711|_commit|library
00405768|_onexit|library
004057ea|atexit|library
00405824|FUN_00405824|library
00405af4|__crtMessageBoxA|library
00405bf0|strncpy|library
00405dd9|FUN_00405dd9|library
00405df4|_lseeki64|library
00405e93|FUN_00405e93|library
00405f11|__crtGetStringTypeA|library
004060cb|FUN_004060cb|library
004060fa|setSBCS|library
00406123|FUN_00406123|library
004062b5|FUN_004062b5|library
004064a1|__initmbctable|library
004064bf|FUN_004064bf|library
004064f0|FUN_004064f0|library
00406501|calloc|library
0040657c|_fcloseall|library
004065d4|FUN_004065d4|library
004065dd|_callnewh|library
00406600|memmove|library
0040693d|realloc|library
00406a9f|_msize|library
00406ad7|FUN_00406ad7|library
00406c34|_global_unwind2|library
00406c76|_local_unwind2|library
00406d0a|FUN_00406d0a|library
00406d22|FUN_00406d22|library
00406d6b|FUN_00406d6b|library
00406f3a|FUN_00406f3a|library
0040700b|__crtLCMapStringA|library
004073c7|FUN_004073c7|library
0040743e|RtlUnwind|library
